,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,noise
1,Chorion,108.3095238095,130.4606481481,292.5169491525,118.4857954545,331.2532051282,346.6267361111,377.6767857143,15619.1130952381,414.8865740741,9257.0981903485,15214.9663461538,65366.4453883495,51935.2162698413,22009.4886363636,6124.7051630435,4861.9825268817,12578.1573275862,23673.57625,15232.0548245614,35907.4875,6523.5762195122,3157.4494047619,3801.9512362637,7216.1041666667,9299.0961538462,9269.7523148148,14669.1987847222,12879.2916666667,8307.7756696429,7118.5093085106,8725.8477564103,12672.7012867647,10099.8125,12900.3768939394,9656.6802325581,5620.5953608247,105283.980862403,128303.871010638,110296.121875,101093.490234375,112244.04125,124263.656914894,81249.3298611111,56582.2301829268,50837.0904017857,35901.1,20121.7534246575,15399.2541666667,8874.284375,5286.4270833333,8389.2589285714,6016.0833333333,9060.921474359,9831.6586538462,9869.8790322581,12307.3933189655,8951.7861842105,9507.8293269231,14407.4328358209,16302.6972402597,12054.0147058824,11952.3810483871,10531.7585227273,9569.0625,10161.7956730769,3881.7265625,4279.25,5727.5357142857,6044.6221590909,9020.8675,10851.6875,11198.1971153846,14819.0214285714,10112.6138392857,7217.9375,7679.3488636364,4018.6225961539,1436.4074074074,5050.0233739837,19355.0665391156,9448.8143382353,15659.1195175439,16837.1392045455,12078.4108606557,12291.69140625,7307.1899509804,2943.59375,837.2147671569,871.0945512821,1022.2077205882,1208.75,1638.5427631579,2771.4014423077,2485.9203125,5724.1695075758,4767.63359375,9071.2820121951,17576.1168478261,12977.5735294118,16895.0625,13137.126953125,27286.0859375,25546.2274305556,42715.5494791667,27441.4620535714,23639.0913461538,11197.9946808511,4042.4386363636,3878.5608108108,8720.8625710227,232.3275122549,131.7121710526,139.2057877814,5885.22265625,12610.6657303371,16504.8890306122,20429.4503289474,534.7575954861,279.7674107143,7951.5669266442,447.0876798561,243.9636976048,2785.3685498221,295.9256889764,266.2301829268,225.2053571429,525.30875,845.1682692308,765.0910714286,215.3783783784,171.9225,177.5982142857,285.0182086614,327.8881578947,395.6017857143,598.21875,3211.2900904605,378.1262755102,320.4935,1011.9358243968,2857.9727961433,804.995385906,1670.1410714286,3812.2723214286,9587.2245639535,1107.0598404255,335.9457605985,538.4055555556,8214.7452445652,6563.6263736264,2865.7696098993,348.0173192771,343.9700342466,250.9962016575,280.9509180791,2390.5121841155,2241.6638513514,5414.1675884956,1377.4972222222,1849.7554824561,5061.1325431035,10407.9967948718,16648.1700581395,27568.3452380952,35839.30859375,31443.0848214286,34235.0911458333,31656.0089285714,33014.947265625,38054.400297619,42507.1939655172,19903.3345588235,7892.0511363636,2319.07421875,638.2398255814,54.8725436681,71.0380639098,109.9337121212,166.5690789474,87.42,162.8399390244,95.59
2,Chorion,-51.3541666667,-43.2685185185,24.311440678,-33.2357954545,214.5913461538,292.1631944444,345.8178571429,13556.4302721088,397.0665509259,7570.3570710456,13866.3197115385,55121.9975728155,43039.255952381,18561.2973484848,4853.8532608696,3625.4663978495,10186.150862069,19724.2475,12500.09375,30812.7133928571,5430.2149390244,2546.8898809524,3036.0885989011,5950.6279761905,7784.6394230769,7880.1018518519,12579.6848958333,11103.6397569444,7123.4397321429,6138.7420212766,7441.8846153846,10793.2665441176,8821.7336956522,11140.4640151515,8496.1642441861,5222.3395618557,86684.5346414729,105809.170212766,91318.815625,82184.74609375,92543.53,102379.599734043,65921.5335648148,45577.6402439024,41138.4709821429,28710.33828125,15605.0445205479,11837.1583333333,6471.07578125,3766.95,5944.2023809524,4361.9401041667,7346.7131410256,8194.3028846154,8628.6612903226,10062.619612069,6897.1710526316,7636.4399038462,11958.7108208955,13806.8636363636,10231.6360294118,10211.7862903226,9029.5,8182.0395408163,8726.9983974359,1793.779296875,2221.3214285714,3565.3660714286,3912.875,6504.4925,8287.3675,8647.6442307692,11708.9803571429,7686.6651785714,5351.2788461539,5686.4965909091,2564.7379807692,393.900462963,3831.3165650407,15631.5716411565,7138.2555147059,12409.3640350877,13437.8541666667,9443.2899590164,9577.6536458333,5611.3394607843,2120.7839912281,353.321997549,507.4823717949,657.2352941176,748.165,1170.6743421053,2185.2692307692,1885.665625,4431.9895833333,3622.48203125,6660.931402439,15823.4184782609,10247.4117647059,12961.26875,11276.55078125,22295.6171875,21796.9253472222,35225.9166666667,23108.453125,19169.2716346154,8990.7885638298,3096.2613636364,2696.0028153153,7197.7137784091,81.0049019608,-11.4654605263,87.0430064309,4904.5,10322.6590589888,13374.5880102041,17078.4490131579,520.0444878472,236.2796875,6523.0978077572,245.5008992806,178.2907934132,2408.9286032029,273.8395669291,244.1661585366,203.3236607143,456.2125,744.5048076923,654.4267857143,212.2364864865,195.645,172.8973214286,244.0344488189,276.0115131579,342.3553571429,510.0860507246,2698.5127467105,305.2933673469,266.0475,708.2478217158,2480.9843319559,687.0935402685,1137.6830357143,2834.8705357143,8145.1860465116,952.0811170213,239.0434850374,305.2291666667,6852.2085597826,5569.4539835165,2287.796875,219.3614457831,229.1070205479,165.476519337,212.688559322,1881.8810920578,1942.5439189189,4565.4806415929,1122.3861111111,1423.5504385965,3975.4353448276,8219.6346153846,13151.1438953488,22282.712797619,29746.056640625,25530.2455357143,28082.890625,26041.6428571429,26877.80078125,31221.3705357143,35838.8599137931,17025.1369485294,6664.1410984849,1806.0677083333,360.300872093,-16.114628821,-9.4107142857,12.0553977273,95.6069078947,14.525625,72.6920731707,-63.9525
3,Chorion,5.1324404762,27.6331018519,89.7245762712,30.7684659091,381.3934294872,517.1588541667,554.7383928571,8250.9073129252,1120.9817708333,6300.0246313673,8661.8665865385,33994.3212985437,30452.4742063492,13954.7781723485,5880.3403532609,4784.5463709677,8295.6023706897,14103.244375,9724.7913925439,20053.6866071429,6157.662347561,4054.5505952381,4077.6325549451,5516.8273809524,6513.5979567308,6456.0358796296,9293.2712673611,8537.3250868056,6333.5597098214,5687.90625,6386.0641025641,8419.4779411765,7387.7255434783,8736.0037878788,7451.1242732558,5607.8360180412,57445.2309835271,74715.0472074468,65518.9578125,59822.134765625,65709.965,71263.1908244681,49762.9363425926,36383.6448170732,32948.2053571429,24702.85859375,15803.3908390411,12825.665625,9015.22578125,5420.43125,7180.625,5846.05859375,7063.0288461539,7305.0817307692,7083.7731854839,8338.1018318966,7042.4407894737,7134.7043269231,9459.4664179105,10369.8530844156,8326.5992647059,8185.4183467742,7499.3977272727,6860.431122449,6913.6286057692,5119.7724609375,4947.7042410714,5504.5859375,5535.6818181818,6844.0325,7656.515,7768.6081730769,9570.28125,7293.1071428571,5781.9110576923,5950.15625,4074.0228365385,2355.5717592593,3583.1158536585,10963.4556760204,6104.4053308824,9111.8876096491,9847.7836174242,7712.0922131148,6855.6009114583,4961.2371323529,2443.6480263158,1083.4491421569,883.6298076923,924.1507352941,898.5175,1194.6430921053,1778.5456730769,1611.12421875,3067.4204545455,2815.459375,5223.5891768293,9449.589673913,7220.0165441177,9452.9515625,7008.734375,14194.07421875,13410.5538194444,21865.7135416667,15300.2399553571,12836.9375,7323.071143617,3022.2397727273,2581.652027027,5104.5786576705,263.8223039216,116.6293174342,18.0154742765,3081.5642755682,6730.1311446629,8960.0899234694,11383.5606907895,204.142578125,121.2861607143,4654.7425168634,500.0229316547,160.877245509,1407.4048042705,120.9126476378,62.3528963415,86.0234375,229.990625,394.6360576923,326.7285714286,115.3293918919,79.50875,97.9732142857,111.9399606299,150.3848684211,193.175,327.2828351449,1791.6075246711,236.1454081633,196.245,720.9352379357,1530.4869146006,523.217386745,973.9883928571,2050.3900669643,4998.6478924419,897.2845744681,335.3396197007,374.6684027778,4170.0604619565,3575.5951236264,1771.1731333893,196.9770331325,208.9447773973,219.6184392265,328.3804731638,1619.9152752708,1500.152027027,3222.2547013274,1337.4368055556,1582.8355263158,3265.4181034483,5963.3489583333,9168.3597383721,14930.3511904762,19108.3623046875,16991.3549107143,18424.3268229167,17187.5558035714,17900.6484375,20904.3489583333,23544.7677801724,12050.5983455882,5521.0397727273,2387.2734375,1305.21875,34.1917303493,27.1264097744,26.8404356061,38.7615131579,-14.3109375,13.1028963415,-5.96125
4,NoChorion,15.1354166667,45.7731481481,84.5815677966,22.6150568182,111.0769230769,116.0034722222,117.1491071429,8897.0892857143,299.9227430556,7988.6740113941,10406.1514423077,38324.1692961165,30562.7740575397,13291.9756155303,3864.4232336957,3080.466061828,7543.6632543104,13899.520625,9334.0243969298,21133.7544642857,4347.9390243902,2264.6770833333,2580.1153846154,4423.0491071429,5588.5198317308,5561.9884259259,8666.4865451389,7600.2092013889,4958.5284598214,4183.4853723404,5041.7956730769,7303.2150735294,5967.2350543478,7489.0625,5813.4447674419,3470.9072164949,60838.4167877907,73424.0984042553,64278.0609375,59274.9951171875,64810.0425,70590.2998670213,46948.400462963,32989.775152439,29376.0005580357,20851.2453125,11772.792380137,8834.4145833333,5262.63671875,3186.8875,5374.6592261905,4133.0833333333,5043.9439102564,5354.7435897436,5060.1633064516,6342.1670258621,5261.0953947368,5600.3293269231,8378.6856343284,9291.1087662338,6998.2463235294,6723.2358870968,5977.1917613636,5334.9961734694,5666.0420673077,2062.7109375,2280.3872767857,3185.4118303571,3367.5568181818,5078.03875,6233.0725,6450.4799679487,8364.4830357143,5795.9977678571,4127.7283653846,4366.9880681818,2291.2451923077,784.7951388889,2754.0825711382,10794.2451105442,5380.5045955882,8772.1025219298,9465.2798295455,6917.8119877049,7041.0611979167,4292.7365196078,1799.1502192983,464.2604166667,489.2828525641,552.2647058824,638.6525,863.4358552632,1493.0408653846,1389.4109375,2983.915719697,2767.8203125,5195.5716463415,10856.9891304348,7444.8621323529,9123.7796875,8050.048828125,14277.0286458333,14782.8524305556,23230.1171875,15644.3515625,13344.609375,6534.0166223404,2693.3801136364,2466.8116554054,5150.9740767046,123.0375306373,41.7715871711,41.8538987138,3146.3345170455,7246.7561446629,9758.6447704082,12098.9162828947,313.3172743056,89.3145089286,4590.3011698988,199.3792715827,110.7806886228,1592.7953736655,184.4844980315,172.6364329268,116.9341517857,305.253125,495.5658653846,447.0428571429,134.5405405405,107.4425,93.0647321429,156.530511811,191.2738486842,251.0232142857,348.0681612319,1888.2398231908,199.1715561224,190.18875,721.6068197051,1595.9018595041,499.2845008389,959.0022321429,2234.7940848214,5419.3310319767,772.2732712766,228.7885754364,267.9954861111,4505.2608695652,3679.1933379121,1736.9185192953,300.4333584337,309.0766267123,78.8154350829,90.697210452,1288.1567012635,1049.4898648649,2820.016039823,632.8194444444,851.2099780702,2597.4450431035,5546.7135416667,9011.1744186047,15084.2172619048,19801.54296875,18182.6049107143,19469.796875,18453.0022321429,19234.9091796875,22369.8392857143,25094.9294181034,12179.1452205882,5096.5539772727,1687.568359375,592.8292151163,-9.4475982533,-1.0852913534,13.7748579545,64.3883634868,-2.203125,33.7073170732,22.535
5,NoChorion,13.1041666667,2.4363425926,48.6091101695,6.7798295455,88.1899038462,119.1319444444,112.0026785714,6770.0393282313,205.9186921296,7087.5209450402,10446.0168269231,29691.0746359223,24032.330109127,9804.4102746212,2910.0414402174,2383.4949596774,5969.2532327586,11032.359375,7186.0663377193,16296.8691964286,3141.256097561,1784.3244047619,2056.5154532967,3561.5550595238,4377.7770432692,4633.7731481482,6662.8263888889,5822.9817708333,3693.9263392857,3278.8510638298,3996.546474359,5639.90625,4661.683423913,5899.6666666667,4315.1351744186,2789.1910438144,49591.5041182171,58472.7426861702,48705.4984375,45913.3505859375,51461.085,54528.7686170213,34261.9282407407,24757.2759146341,22291.0329241071,15656.391796875,8584.5642123288,6755.9239583333,3578.283203125,2401.103125,4314.380952381,2681.8111979167,3692.5568910256,3581.2139423077,3540.0967741936,4148.7548491379,4771.3774671053,5699.0973557692,6968.0564365672,6993.3425324675,4533.8216911765,4810.8679435484,4077.7642045455,3352.5433673469,4187.2548076923,3194.7548828125,3084.9587053571,3429.4274553571,3776.3295454546,4787.6275,5624.0975,5467.6354166667,6970.0955357143,4610.1428571429,3408.71875,3634.7943181818,1956.140625,851.8611111111,2176.0767276423,8531.0089285714,4098.7141544118,7131.3048245614,7382.9379734849,5132.8760245902,4702.861328125,3621.2113970588,1381.3895285088,311.623314951,381.9270833333,359.2086397059,406.29875,762.1907894737,1227.6009615385,938.55625,2279.7528409091,2184.612109375,5061.0857469512,6835.589673913,5801.6158088235,7369.5328125,4966.5263671875,11635.0130208333,12091.3220486111,17609.1979166667,12409.7053571429,9877.3413461539,4878.0651595745,2112.5778409091,2035.7432432432,3799.6061789773,61.6007965686,8.1373355263,18.035068328,2508.3233309659,6080.9720856742,7472.256377551,9345.3101973684,248.6370442708,97.8303571429,3948.2512647555,67.4383992806,-6.4773577844,1108.7534475089,14.3791830709,33.8681402439,27.3995535714,173.955625,349.8846153846,230.1714285714,-1.5447635135,-30.535,-29.412202381,157.7925688976,887,2981.7696428571,2611.6619112319,-26.9901315789,9.8718112245,13.2825,1438.3436662198,270.824207989,292.1671560403,1101.9892857143,1780.9330357143,3903.6978561047,441.3178191489,64.8456203242,117.9829861111,3606.0550271739,4070.6229395604,1227.0301489094,256.4122740964,270.9066780822,49.5949585635,39.1698446328,1031.3914711191,833.3783783784,2115.1673119469,418.2638888889,680.4314692982,2309.703125,4667.8705929487,7977.1947674419,12509.0669642857,15392.177734375,14255.1428571429,15022.8138020833,16274.1941964286,15310.7333984375,19525.228422619,18449.036637931,8074.6098345588,3351.1912878788,1165.5182291667,425.730377907,-3.4205786026,2.1029135338,0.7798295455,40.6334292763,-13.9171875,29.0708841463,-5.52
6,NoChorion,-12.9568452381,10.037037037,44.5206567797,-31.484375,118.2227564103,150.0954861111,186.2357142857,7411.7693452381,223.306712963,4894.6854892761,5903.8076923077,30429.9960558252,24252.3658234127,10479.6922348485,2783.7629076087,2043.9338037634,5416.4870689655,10802.75375,6871.7105263158,17388.865625,3216.8201219512,1433.8504464286,1774.2228708791,3283.6391369048,4282.1784855769,4151.9155092593,7007.0911458333,6222.7491319444,4006.3465401786,3309.5864361702,3964.5721153846,5976.5165441177,4783.9972826087,6227.7888257576,4898.4520348837,2975.3334407217,46723.445373062,57773.0977393617,49885.1328125,45100.771484375,50221.394375,56375.3563829787,37060.615162037,25112.8132621951,22851.078125,16354.74765625,8878.4880136986,6709.2104166667,3776.81328125,1971.1114583333,3597.875,2511.3776041667,3840.1514423077,4269.0456730769,4126.5383064516,5620.9278017241,4066.0394736842,4159.0252403846,6576.1478544776,7557.4663149351,5660.7205882353,5534.8911290323,4859.2627840909,4403.7091836735,4452.4194711539,1123.8701171875,1271.0892857143,2012.4598214286,2079.6178977273,3564.06125,4511.6475,4730.5753205128,6644.3116071429,4473.3348214286,3001.9278846154,3344.5732954546,1670.2680288462,316.619212963,2062.0477642276,8397.8738307823,3813.5983455882,6607.0153508772,7385.9214015152,5292.1956967213,5548.9622395833,3266.9644607843,1221.8560855263,242.9621629902,235.9711538462,372.0533088235,365.495,652.1644736842,1184.1646634615,1090.5,2441.5184659091,2002.96171875,3566.1341463415,8744.7894021739,5655.15625,7018.5640625,5975.173828125,11172.5872395833,11277.3411458333,19150.6484375,12701.5848214286,10910.1346153846,5264.1502659575,1875.0153409091,1598.4670608108,4009.7878196023,44.0540747549,4.6574835526,28.2003617363,2509.6329900568,5445.2320926966,7375.9387755102,9590.8284539474,223.22265625,63.0925223214,3620.245257167,114.1148830935,-32.0407934132,1198.0940836299,-16.0214074803,-29.7957317073,-71.4162946429,92.696875,261.5903846154,232.7669642857,-40.6342905405,-58.97,-80.380952381,-47.217273622,-40.5,16.2794642857,95.0883152174,1349.9360608553,-11.5280612245,-23.00025,293.7809986595,1151.550792011,194.0450922819,434.7415178571,1264.4944196429,4225.6613372093,480.5984042553,20.9692955112,13.8361111111,3408.6807065217,2913.3932005495,1260.5068687081,134.2021837349,157.8116438356,69.1008287293,61.0485522599,980.2598149819,695.0101351351,2302.7975663717,474.9048611111,507.639254386,1737.1190732759,3943.7716346154,6387.9236918605,11228.515625,15538.7548828125,14038.53125,15222.25,14223.546875,14725.9599609375,16926.1517857143,20363.8426724138,10245.6291360294,4356.6737689394,1525.0891927083,588.1809593023,-3.6664847162,3.7460056391,5.2933238636,41.4266036184,-2.0146875,34.2774390244,-26.81
7,1dpf,52.2857142857,286.8148148148,1385.8983050848,-417,-83.6923076923,1243.8055555556,965.3428571429,52798.5034013605,2785.5185185185,118419.627345845,126976.192307692,348633.038834951,370504.73015873,86030.6363636364,31775.5434782609,26508.5806451613,63758.1551724138,110812.56,71280.8157894737,139428.342857143,35521.9268292683,24992.5952380952,28283.5054945055,40976.5714285714,47852.6153846154,47501.6296296296,65170.125,57042.5277777778,39435.1785714286,34410.5531914894,40447.2051282051,55721.5735294118,50629.3043478261,62915.303030303,54096.3488372093,43221.0721649485,953664.69379845,812492.361702128,685642.9,632656.625,689321.44,686937.510638298,421504.888888889,290370.609756098,243662.982142857,174068.95,94079.7945205479,71182.2,44524.525,34723.6333333333,39800.380952381,32130.6666666667,48580.5897435897,50667.7179487179,48773.935483871,57797.2413793103,58565.3947368421,62304.5,81765.1641791045,93624.1168831169,83743.0588235294,86103.5483870968,85256.7272727273,90073.2448979592,120880.025641026,31711.21875,30911.25,34475.6428571429,34251.2727272727,42907.12,47996.76,47866.0256410256,59024.3142857143,42730.6071428571,31843.5384615385,32682.8727272727,19790.7692307692,12295.037037037,20397.6178861789,77489.0986394558,37325.0588235294,63706.4210526316,69116.303030303,50539.7704918033,46570.2291666667,31731.7254901961,18399.7807017544,1923.6715686275,3861.0256410256,8959.7647058824,6529.2,3754.4736842105,7380.3076923077,6974.8,16447.9848484848,17147.9875,52618.3658536585,82920.7826086956,64189.3529411765,70467.3,55731.9375,104937.25,109141.5,168133.458333333,111059.035714286,96396.8461538462,44711.5957446809,51623.0545454545,83296.6846846847,37654.7784090909,-255.7009803922,-1164.8947368421,-927.540192926,22801.7670454545,56738.5280898876,77632.6326530612,93039.847368421,775.1388888889,2691.0321428571,57203.1854974705,4373.7553956835,490.4251497006,9263.8220640569,22255.2125984252,25811.0487804878,1085.75,2084.14,3733.1384615385,3494.8285714286,1361.3783783784,1583.12,1866.0952380952,19745.2598425197,22843.4210526316,23417.4,3853.3260869565,9011.3223684211,10702.0816326531,3661.832,14979.509383378,19301.3195592287,4835.4496644295,18339.8428571429,24027.0178571429,53629.25,29377.4468085106,11970.9600997506,2344.9555555556,30008.1413043478,25020.3736263736,19097.5453020134,1453.4578313253,1288.0821917808,306.8011049724,453.4689265537,13938.0974729242,7256.4324324324,18647.4778761062,4749.2444444444,7046.1403508772,22120.6724137931,43950.3717948718,73924.511627907,119984.571428571,133460.25,141883.928571429,134044.958333333,145765,144425.78125,181026.119047619,187479.517241379,89126.6470588235,37787.4696969697,13821.9375,6232.7906976744,508.3056768559,308.6691729323,972.2954545455,237.0592105263,959.39,1911.5609756098,-209.64
8,1dpf,339.9523809524,1044.8148148148,3692.3220338983,-630.0454545455,1352.8974358974,2455,2118,61344.6054421769,4567.7407407407,158939.772117962,155252.961538462,387853.475728155,395486.031746032,103457.689393939,40103.5,34534.3655913979,75252.0689655172,126019.34,85089.3245614035,166688.128571429,44455.4146341463,31517.5,36518.1098901099,50455.2142857143,57689.1538461538,58502.2962962963,77514,67458.5833333333,46961.4821428571,42215.4255319149,49555.2564102564,67340.7794117647,62561.1304347826,75512.2727272727,65035.9302325581,52496.4639175258,1029822.5620155,839016.659574468,710799.6,678882.875,743967.92,724715.85106383,449396.037037037,309784.829268293,263611.321428571,184746.025,101042.917808219,76482.2333333333,47870.2375,48399.5666666667,44351.3333333333,34727,52782.1282051282,54481.7948717949,53908.5806451613,62222.8965517241,61280.3421052632,66251.5769230769,88755.6119402985,100480.350649351,87523.2941176471,90228.2258064516,89005.5909090909,91860.6326530612,124653.923076923,21607.8125,22573.8928571429,26370.7857142857,28436.5,38510.72,44830.64,45693.5897435897,58019.2,40315.3928571429,29339.4615384615,30285.8,16268.3461538462,9228.8518518519,22155.162601626,81564.8265306122,39575.9117647059,70279.7192982456,74774.8333333333,54888,50581.1458333333,36460.3725490196,19993.8421052632,3141.3970588235,4883.9487179487,10323.6470588235,7563,6511.6842105263,9934.1153846154,8432.9,19790.696969697,19624.825,54276.0853658537,84107.2173913044,67610.4705882353,73973,61608.40625,109945.458333333,123438.361111111,173186.5,120483.821428571,99793.0384615385,47540.2340425532,57978.1272727273,93828.4504504504,42798.4545454545,212.2696078431,-398.3618421053,-513.5241157556,24374.7386363636,61027.5786516854,83141.6530612245,101842.626315789,1739.4965277778,3006.0321428571,56449.5750421585,4152.2589928058,1169.8502994012,11093.4270462633,25594.5511811024,28202,2108.8928571429,2850.32,6925.7230769231,6515.6857142857,3037.1621621622,2331.6,2616.4761904762,22702.7480314961,25909.2105263158,25275.9142857143,5147.6666666667,18204.8092105263,9547.2653061225,3301.472,16009.1152815013,19984.7024793388,5400.711409396,16902.8285714286,24921.8214285714,59951.1220930233,31643.6808510638,13459.3840399002,2356.6777777778,33581.6847826087,27922.4285714286,18987.2852348993,2902.6987951807,3346.6164383562,767.4143646409,817.9830508475,14073.7906137184,9228.2702702703,21591.9646017699,5485.5555555556,7915.701754386,24154.8620689655,47290.6666666667,77531.1627906977,125850.880952381,145956.6875,148301.785714286,148181.541666667,153278.142857143,156548.21875,195192.904761905,202706.379310345,94277.6323529412,39115.6060606061,13748.8125,5177.1395348837,-246.9956331878,-399.1954887218,189.4318181818,62.1578947368,72.91,1347.0731707317,-698.4
9,1dpf,205.9523809524,284.1111111111,1851.4745762712,-293.8636363636,-539.8461538462,724.9722222222,798,61721.9319727891,2464.0740740741,126114.8230563,134565.423076923,363104.398058252,375044.095238095,99389.9545454545,35363.6086956522,28685.4623655914,66791.3448275862,120446.32,78854.0263157895,163574.9,39144.756097561,27127.9523809524,29357.1758241758,45029.7142857143,53104.0769230769,52950.8148148148,74040.9166666667,65572.5972222222,45744.9642857143,39697.7446808511,45957.0769230769,63992.0735294118,57757.652173913,72704.9090909091,60521.1627906977,48340.206185567,895972.352713178,822629.638297872,701710.5,635191.25,701127.4,712457.85106383,438451.314814815,302713.853658537,259273.946428571,189357.8375,103288.287671233,79521.2,50590,45035.6333333333,46942.6666666667,37379.625,56083.0256410256,57792.9230769231,55658.6451612903,66502.0689655172,67374.5526315789,73584.4230769231,99099.4179104478,114860.623376623,104755.294117647,108685.258064516,109011.863636364,115592.204081633,152592.294871795,22293.28125,21628.8571428571,27149.3214285714,26766.0454545455,38652.72,46307.04,46565.2564102564,61072.7428571429,42065.9285714286,30522.5384615385,32120.1090909091,16818.8846153846,13437.8518518519,21720.7479674797,86454.4557823129,40795.6764705882,70859.9649122807,76725.0606060606,55016.4590163934,50339.9166666667,34915.3529411765,24662.4649122807,3423.25,7507.7948717949,15197.4705882353,13091.4,7502.6315789474,11669.6923076923,10675.875,22291.6212121212,20291.3375,50542.1219512195,117314.826086957,69317.7647058823,80953.85,75085.1875,123518.166666667,129873.75,195047.958333333,131060.357142857,111323.269230769,51687.9574468085,46063.3272727273,68900.6306306306,43484.7443181818,1036.4166666667,21.3552631579,275.1125401929,26761.8295454545,58862.2359550562,80672.2040816326,99323.4947368421,717.8645833333,2484.5107142857,58189.1112984823,3028.0503597122,586.874251497,11109.2491103203,15170.7559055118,18520.0975609756,1082.8571428571,2344.16,5086.3230769231,4770,1389.3513513514,2063.96,1978.2380952381,14013.3779527559,16335.8947368421,17293.0571428571,4379.3043478261,18453.6907894737,6859.4489795918,2468.568,10389.8310991957,22156.520661157,5661.9697986577,18180.1714285714,26258.1785714286,55075.3837209302,23785.0425531915,9605.029925187,2847.5111111111,35164.152173913,29781.0769230769,20151.3573825503,2075.0963855422,2464.6164383562,861.3701657459,676.2542372881,14812.0180505415,9233.9189189189,23122.5486725664,6260.5111111111,7683.7894736842,22775.8448275862,46695.3717948718,76089.8139534884,127930.214285714,155395.15625,146502.142857143,151034.416666667,146452.285714286,152565.3125,185408,203377.75862069,98451.8235294118,40488.7272727273,13418.375,5342.8139534884,388.384279476,164.2706766917,849.2575757576,476.6052631579,1118.24,2374.4146341463,59.6
10,2dpf,-785.1428571429,-282.9259259259,1222.3220338983,-305.1363636364,-156.5128205128,1430.7222222222,1195.2857142857,55355.5442176871,2054.0833333333,133635.737265416,129857.115384615,347033.611650485,365073.301587302,91139.6742424242,32728.4130434783,28315.5268817204,63958.5,113463.14,73141.7719298246,149414.971428571,39830.8048780488,24923.2380952381,30293.3296703297,43318.8571428571,49865.6153846154,48950.2592592593,68164.3333333333,59268.9305555556,41055.7142857143,35190.7021276596,41896.1538461538,59118.9117647059,52405.1739130435,65817.696969697,55772.6744186046,43167.3195876289,948514.267441861,752137.872340425,636142.35,601337.3125,664945.22,665733,406906.185185185,279985.146341463,237828,166621.475,89510.2876712329,68723.3333333333,42231.6875,35294.0333333333,36778.0476190476,26039.0416666667,43210.2051282051,45142.2820512821,44269.3548387097,52350.1551724138,51015.4210526316,55332.2307692308,76394.4179104478,87222.1558441558,74228.2941176471,77324.4838709677,75874.5454545455,79397.4489795918,109094.115384615,15813.53125,16454.9642857143,21097.8928571429,22579.7272727273,32408.64,38665.04,38968.8717948718,53048.8285714286,35624.5,25264.3846153846,27030.7454545455,14326.8846153846,8662.2222222222,19154.7967479675,72631.268707483,33597.2058823529,59282,66662.0909090909,50827.5245901639,48077,32974.8039215686,21616.9035087719,3800.9460784314,5774.2564102564,11192.7941176471,7976.08,5123.1052631579,9192.4615384615,7789.1,17962.4545454545,15339.575,43733.4512195122,90548.347826087,55892.4117647059,68482.2,57987.90625,101442.5,107575.055555556,163431.125,110028.357142857,94097.6538461538,44358.085106383,58515.3090909091,91257,43423.625,1783.9705882353,1039.5131578947,49.1800643087,19573.9261363636,54058.3707865169,76464.8979591837,96854.4105263158,1068.5,894.4642857143,47964.3001686341,4613.9496402878,655.6886227545,9671.4982206406,23944.8976377953,28519.3658536585,1334.0357142857,2000.24,5017.1076923077,4386.7428571429,1225.027027027,603.96,821.0952380952,20306.5669291339,24469.0789473684,25241.7714285714,4136.2971014493,9523.9605263158,10127.2448979592,2710.856,13731.5951742627,18391.7272727273,4109.5067114094,13614.5571428571,21458.0892857143,55522.5872093023,33168.2127659574,13253.5685785536,2404.9111111111,29881.3804347826,25931.0659340659,17389.1895973154,4236.5060240964,4578.2465753425,97.8508287293,-893.5028248588,10375.4981949458,5416.3783783784,17100.2743362832,2187.0666666667,2716.8596491228,15575.3965517241,34500.7820512821,57564.8372093023,102382.047619048,129203.6875,127598.571428571,130811.333333333,129832.571428571,135983.625,171552.738095238,195167.775862069,96727.8676470588,42897.9242424242,17081.2083333333,8027.8372093023,-687.943231441,-701.969924812,-67.5681818182,-402.0855263158,62.74,2058.9756097561,-529.64
